,keyphrase,keyphrase in _ plans
15563,national level,2
42,solar farm developments,2
8813,surface transport,2
5588,development transport,2
8815,circular economy opportunities,2
15630,uk net,2
5567,march borough,2
5571,minimum energy,2
10,methods,2
8844,vulnerable residents,2
8831,greater manchester,2
15621,green homes grants,2
8848,conserving,2
8849,fleet review,2
15614,themes,2
5575,low carbon materials,2
11365,suffolk waste,2
8817,budget council,2
5556,projections report,2
8784,neutrality action,2
15557,environmental policy,2
11343,seeks,2
132,climate fife,2
15522,wetland,2
8749,reduction strategy,2
8748,viability assessment,2
15514,carbon removal,2
5604,services transport,2
15511,biodiversity duty,2
147,sustainable buildings,2
8743,local energy systems,2
8911,awareness,2
8912,hope,2
5512,ecological emergency commission,2
155,stirling,2
8915,project pipeline,2
160,extinction rebellion,2
15501,major reductions,2
8734,annual reports,2
8918,governance framework,2
11350,change survey,2
11351,council decisions,2
8779,current council activities,2
5596,route map,2
8887,environment principles,2
100,objective action timescale,2
8774,smart meter,2
103,temperature anomaly,2
106,national climate emergency,2
15544,waste bins,2
8768,potential carbon dioxide,2
8766,tidal energy,2
8765,carbon buildings,2
115,possible measures,2
5595,sustainable change,2
5525,community activity,2
5524,solar park,2
8898,delivery strategy,2
122,standard methodology,2
123,environment report,2
8610,enable energy efficiency,2
15340,new london plan,2
370,overarching plan,2
5343,cycle parking,2
5335,mitigation actions,2
650,key priority areas,2
15116,initial vantage point,2
657,ecosystem,2
5331,emission pathways,2
660,long term benefits,2
15111,richer wildlife habitats,2
15108,council planning,2
668,travel consumption,2
5324,office defines,2
8434,low energy council,2
677,city sustainability,2
8431,improved sustainability requirements,2
683,constant review,2
637,adaptation projects,2
8461,apologies,2
9134,storage systems,2
592,workplace parking levy,2
9119,operations procurement,2
9121,replace,2
8482,joint statement,2
8477,domestic transport figure,2
15155,emissions net,2
15154,agricultural vehicles,2
8475,status update,2
610,scottish government recycling,2
614,bins,2
619,reporting systems,2
11538,cycle paths,2
11539,funding sustainability,2
5345,contact officer,2
625,elements,2
8463,total tonnes,2
692,specific action measure,2
695,new methods,2
5697,forestry,2
5301,proposal,2
5298,modelling methodology,2
15049,vehicle fleet,2
8388,vulnerable communities,2
759,equality impacts,2
5731,major step,2
5293,energy challenges,2
11575,contract evaluation,2
9199,vehicle mileage,2
15033,innovative solutions,2
770,council homes,2
11579,change champions,2
11252,relaunch,2
781,south somerset,2
11583,local planning policies,2
11251,discourage,2
9187,metrics,2
8400,electricity costs,2
5722,statutory target,2
9184,behaviour changes,2
698,district energy,2
700,necessary changes,2
15083,indicative pathway,2
8417,measurable targets,2
15078,campaigns,2
713,reduction options,2
5312,climate science,2
5311,place carbon,2
8411,plan energy,2
15070,regulations,2
724,governance issues,2
11568,adverse impact,2
15063,individuals organisations,2
11569,reporting section,2
732,emissions mitigation,2
9183,sector action,2
8489,trapping,2
575,substantial increase,2
435,governance process,2
441,lockdown period,2
15281,vegan options,2
15279,international accounting tool,2
451,council area,2
15274,allocation,2
8564,scatter data,2
460,funding mechanisms,2
463,wildflower meadows,2
5671,energy emissions,2
8558,electricity production,2
467,somerset councils,2
472,county climate,2
474,solar schools programme,2
9064,suffolk climate,2
481,transport total,2
439,control scope,2
433,inaction,2
15250,update council,2
431,ref action,2
11474,budgeting,2
9024,particular sectors,2
5419,uk council,2
11485,funding plan,2
15312,uk wildlife,2
5417,carbon solutions,2
9036,port sea,2
5416,cross party,2
15304,qualitative data,2
9040,adaptation,2
9041,plastic cups,2
422,regulatory framework,2
426,procurement policy,2
15293,final matthew turner,2
9046,locality distance,2
15253,statutory functions,2
11503,new land management,2
5363,consumption transport,2
15210,policy document,2
11516,bury council,2
15204,many benefits,2
5690,limit emissions,2
15202,corporate risk register,2
546,heating solutions,2
15198,local nature reserve,2
11519,planning legislation,2
5691,significant proportion,2
15191,wiser decisions,2
8503,sector industry,2
15188,national government policies,2
562,consumption patterns,2
15186,collaborative approach,2
15183,grid losses,2
11524,small scale habitat,2
573,strategic needs assessment,2
15209,differences,2
15218,overall emissions,2
15245,policy initiatives,2
5380,transformation programme,2
5391,extinction,2
8540,woodland strategy,2
497,wildflower planting,2
499,waste disposal,2
502,great work,2
9078,attitudes stirling,2
5683,viability cabinet,2
507,review options,2
9080,indirect carbon,2
5385,green agenda,2
9083,average warming,2
15224,emissions district,2
11288,energy capital,2
523,building retrofit,2
7975,councillor mileage,2
1295,kent climate change,2
11770,organisational emissions,2
4910,sixth carbon budget,2
4914,decommissioning,2
4915,current challenges,2
11876,important agenda,2
9671,services manager,2
7745,young people,2
7746,essential car user,2
14201,reduction tonnes,2
13929,local decisions,2
14203,corporate plan consultation,2
7749,car charging,2
11085,change poses,2
6033,march table,2
9667,other means,2
2269,local planning,2
11086,necessary provision,2
1876,dorset council,2
2276,uncertainty,2
9662,emergencies,2
5944,key scope,2
7528,institutional buildings,2
9659,total carbon emissions,2
14219,benefit,2
14223,biodiversity emergency,2
7527,flood defences,2
5942,refrigerant gases,2
13918,assessment report,2
11865,mar climate,2
7736,reporting standard,2
14186,justice climate,2
9620,council team,2
1907,spaces strategy,2
13940,revise procurement,2
1960,sustainable approach,2
13939,meetings,2
5959,community impact,2
14151,facilities,2
11886,cycling facilities,2
9698,sustainability approach,2
7544,drier summers,2
14158,emissions energy,2
1940,staff resources,2
4899,net carbon emissions,2
11883,plan actions,2
1934,everyone,2
13935,preparation,2
2258,performance indicators,2
1925,disposable income,2
2259,mandatory climate change,2
1922,environments,2
14175,international climate change,2
14177,strategy transport,2
7538,photovoltaic,2
14182,bau forecast,2
9653,council use,2
14231,westminster city,2
1849,dependence,2
1799,carbon climate,2
7798,greenest,2
14271,natural environment,2
14274,policy makers,2
1790,businesses climate,2
4946,electric vehicles page,2
1785,overall carbon footprint,2
14278,warwick district community,2
11006,change resilience,2
7804,associated activities,2
7805,lee valley,2
14283,sixth assessment report,2
4762,renewable energy options,2
7502,neutral plan,2
11994,date climate,2
13885,further work,2
9627,least tonnes,2
1775,government,2
2318,strategic overview,2
5930,biodiversity partnership,2
7809,long waiting list,2
4950,future resilience,2
13881,transport fuel,2
1769,efficient way,2
7813,species,2
14292,reporting approach,2
14293,council addresses,2
1763,domestic transport,2
1800,capita basis,2
1801,neutral net zero,2
4943,related impacts,2
11861,fuelling points,2
14234,grid reinforcement,2
6038,new winter record,2
13914,free park,2
1847,district heat,2
4931,balanced ecosystems,2
11864,accessible cycle parking,2
9647,more wildflowers,2
14242,overarching strategy,2
1834,community interest,2
1832,energy programme,2
13911,storage,2
7781,story,2
4766,global carbon budget,2
1826,hedgerow coverage,2
9642,low carbon measures,2
4772,plan december,2
1824,performance monitoring,2
1823,environment group,2
2301,significant community interest,2
14252,decision climate,2
7512,central heating,2
11010,overarching framework,2
9636,innovation programme,2
1969,outdoor activities,2
14138,future climate change,2
1972,mowing,2
5991,friendly projects,2
2191,local ity delivery,2
9779,car club,2
2119,other fuels agriculture,2
7617,new technology,2
9777,stake,2
9804,flood,2
11953,planting strategy,2
6014,insulation projects,2
7577,procurement services,2
13982,exeter,2
11053,free government funding,2
5994,positive impacts,2
14053,hybrid vehicles diesel,2
11931,available grant,2
2094,staff awareness,2
7633,government targets,2
2092,scrutiny panel,2
2201,friendly initiatives,2
2091,plan action,2
2090,consumption emissions,2
4842,smart grid,2
7635,step,2
4808,adaptation strategy,2
2085,tenants,2
2084,sustainable procurement biodiversity,2
11928,maintain,2
2123,natural capital addresses,2
13991,pathway report,2
2125,risk assess,2
2184,scooter trial,2
7590,delegates,2
7591,cabinet agenda,2
7592,carbon city,2
11039,sustainability fund,2
4819,partnership approaches,2
9795,environment scrutiny,2
4821,lighting upgrade,2
7598,cost implication,2
2159,fair food system,2
2157,public bodies duties,2
2153,mass tree planting,2
13997,vehicle use,2
11952,carbon programme,2
14014,resilient development,2
7583,clean air zones,2
11042,theme chapters,2
9787,commercial sector,2
2143,climate conference,2
9803,pump installation,2
2140,reduced inequalities,2
6004,woking,2
7584,local change,2
2134,antarctic ice sheet,2
14027,grey water harvesting,2
14028,property assets,2
2131,bat populations,2
2128,asset review,2
2081,sustainable climate action,2
13945,uk legislation,2
4849,mole valley district,2
13963,legal framework,2
2014,energy procurement,2
5973,renewable energy resource,2
14112,generation,2
5972,nitrogen dioxide,2
13959,pedestrian,2
5969,lifecycle,2
11899,local bus service,2
11969,different greenhouse gases,2
13956,corporate carbon footprint,2
7690,services climate,2
11024,other council,2
4881,insulation levels,2
9718,mole valley,2
1987,community retrofit,2
13951,rely,2
2237,council change,2
1983,strategic action,2
11897,reduction opportunities,2
9715,england climate,2
9831,river flows,2
7697,term environment,2
14135,sustainable behaviour,2
13947,island,2
9712,plan progress,2
2015,bodies climate,2
2017,planting scheme,2
9733,efficiency carbon,2
4807,alternative formats,2
9755,pilot schemes,2
2065,local improvements,2
14074,additional capital funding,2
7650,lung conditions,2
9818,continuous process,2
2217,further assessment,2
7654,emergency task,2
5983,eco funding,2
10716,futures,2
11062,step process,2
11916,constitutes,2
11029,neighbourhood plans,2
14090,uk targets,2
5980,grassland,2
14093,action tables,2
13965,parking charges,2
5979,natural sequestration,2
2037,impact statement,2
7667,borough parks,2
2031,disability,2
11028,harmful emissions,2
2030,county district,2
2029,ambitions,2
2027,plan council,2
1761,site allocations,2
4770,environment network,2
1758,large scale,2
6070,objectives climate,2
5009,live,2
14412,sustainable transport projects,2
7909,cabinet approval,2
2405,organisational priorities,2
14417,climate plan,2
2406,key messages,2
1600,alternative transport,2
1599,south yorkshire,2
5890,annual action plan,2
4727,resilient borough,2
4725,energy demands,2
2381,timescale,2
14425,local enterprise partnerships,2
7448,behavioural changes,2
1590,environmental assets,2
9907,minimise vulnerability,2
9542,further initiatives,2
14428,borough housing,2
1584,planning decisions,2
7921,citizen engagement,2
1578,congestion,2
11791,options,2
11790,environmental assessment,2
13808,strategic action plan,2
7445,total electricity,2
7907,many projects,2
14407,global recession,2
11131,scottish emissions account,2
14372,construction methods,2
13834,different needs engagement,2
14375,longer term funding,2
11816,policy support,2
7467,unit cost,2
7881,business efficiency,2
14381,positive assembly hall,2
9571,alternative means,2
7461,investment requirements,2
4734,climate commitment,2
5901,council business,2
11126,capital investment,2
11128,housing planning,2
1636,detrimental impact,2
14393,single occupancy car,2
4732,local planning ity,2
5003,internal groundwork governance,2
7455,new issues,2
13818,plant species,2
7897,emission data,2
13817,energy officer,2
9556,inclusive economy,2
5006,current level,2
13805,carbon standard,2
1570,avoid,2
6071,baseline figure,2
11144,national planning policy,2
14472,council contracts,2
1524,planet cardiff,2
5039,surcharge,2
4709,further development work,2
14474,thames water,2
13774,district climate,2
14478,region energy,2
11777,study report,2
13769,specific reporting measures,2
2467,change greenhouse,2
14484,heating bills,2
2470,incentive schemes,2
2471,electric,2
12040,descent plan,2
7962,charitable organisation,2
7963,change schools,2
13761,electric vehicle car,2
14488,dangerous tipping point,2
13760,cycling support,2
11773,live timber imports,2
7408,buildings directive,2
1495,health organisation,2
1494,future improvements,2
12030,grant,2
1528,potential solutions,2
7931,small scale suds,2
1529,recycling rates,2
10990,better quality housing,2
2433,rainfall patterns,2
2435,climate needs,2
9531,change working,2
1559,natural capital investment,2
1558,continuous review,2
1557,strategy priority,2
7937,actions climate,2
13789,local sustainability,2
14451,clean air zone,2
14452,resilient bristol,2
5031,household,2
7942,uk governments,2
2439,sheffield,2
4714,action strategy,2
5877,reduction activities,2
2443,property retrofit,2
1545,prepare,2
7429,pledge guidance,2
14460,wells borough,2
1540,efficient services programmes,2
7949,strategy consultation,2
14468,global energy review,2
1658,site,2
2174,warwick district council,2
2380,upgrades infrastructure,2
14312,biggest climate change,2
11846,suffolk council,2
11116,power homes,2
13840,habitat enhancement,2
11117,cumulative impact,2
7839,detailed feasibility studies,2
1702,centre,2
14308,contributor,2
13838,sustainability checklist,2
4954,sustainable transport policy,2
14305,development management,2
13850,through provision,2
7479,corn exchange,2
1684,nature emergency,2
11830,public transport links,2
13858,city resilience,2
11108,strategic climate change,2
11106,own climate action,2
9595,figure organisation,2
2345,terminology,2
7853,uk share,2
7470,change member,2
14348,support programmes,2
1688,different scopes,2
4975,local plan climate,2
13855,garden,2
13837,north yorkshire,2
4747,environment resource,2
2356,executive contact claire,2
7870,innovative ways,2
9601,action roadmap,2
14359,electric heating systems,2
4985,respiratory,2
7845,river levels,2
7872,corporate carbon reduction,2
6052,short timeframe,2
1664,carbon world,2
7820,future plans,2
1662,insulation programme,2
1661,sustainable travel action,2
7819,coastal infrastructure,2
1757,more heat,2
4988,council departments,2
14361,local budget,2
7477,values,2
1714,priority thematic,2
1706,urgent priority,2
1746,strategic actions,2
10945,woodland expansion,1
10989,economic benefits,1
11302,bates bem,1
10739,metro stations,1
11331,vehicles measure,1
11303,excess mortality,1
10942,complete progress commitment,1
10944,power tool,1
11360,development charter,1
11332,european guidelines,1
10943,waste community,1
10977,community regeneration,1
11300,profile emissions,1
11007,scopes scatter,1
11000,operational vehicle fleet,1
11001,pets corner,1
11034,largest sources,1
10737,carbon funding,1
10760,plan process,1
10940,october demand,1
11358,environmental sustainability procurement,1
11033,yearly basis,1
10761,forums,1
10724,bike repair,1
10941,christian aid,1
11333,new habitats measures,1
11035,public bodies,1
11299,resource assessment,1
10939,detailed project activity,1
11003,positive steps,1
11293,public transport actions,1
11292,portfolio support,1
11335,regional context climate,1
11290,loop reduction,1
10937,technical details,1
11289,effective delivery evidence,1
10766,water activity,1
10983,overarching approach,1
10966,last resort option,1
11368,council challenges,1
10718,energy innovation,1
11004,district reduce,1
11338,pledge,1
10981,outline ideas,1
10984,retail landscape,1
11366,contract procedure,1
11002,climate urgency,1
10723,whole perth,1
10979,healthy travel infrastructure,1
10988,gas report,1
11362,changes climate,1
10762,goal earth,1
11363,low emission freight,1
11341,milestones,1
10763,adaptation schools,1
11005,vehicular traffic,1
11297,policy cycle,1
11296,own gap analysis,1
11364,makes,1
10738,ongoing governance consultations,1
10986,truck step,1
10721,internal ferry renewal,1
10985,renewable technology development,1
11294,free cycle routes,1
10963,sustainable efficiency measures,1
11032,future welsh government,1
11304,south west devon,1
10731,cycle racks,1
11324,strategic plan carbon,1
10972,financial investment,1
10754,resilient buildings,1
10729,natural gas council,1
10959,operational energy demand,1
10973,low carbon challenge,1
10995,bolton climate,1
11020,farming processes,1
11317,transport february,1
10955,local energy funding,1
11316,immediate relief,1
11022,offset measures,1
10954,thunderstorm asthma,1
11353,early steps,1
11337,economic partnership,1
10728,paper processes,1
10755,other land use,1
10996,energy prices,1
10756,national governments,1
10745,consumer choices,1
10969,storm events,1
11014,statutory reporting publication,1
10747,emissions activities,1
11322,cumulative benefit,1
11323,biodiversity benefits,1
10749,comprehensive systems,1
10958,liquid fuel waste,1
10970,visitor,1
10994,decision reports,1
10993,freight consolidation,1
10751,projects value,1
11017,landmark rio,1
11016,new environment,1
10991,disease,1
11346,better water management,1
11320,energy services,1
11015,own carbon plan,1
10971,wider improvements camera,1
11318,director paul,1
11354,post borough,1
10727,commercial electricity industry,1
10743,potential saving,1
11011,assessment findings,1
10725,reliant vehicle delivery,1
10974,countryside policy,1
11328,tidy britain,1
11306,regions agriculture,1
11012,international priority actions,1
10999,external organisations,1
10948,savings tracker,1
10968,basic breakdown,1
11348,main properties,1
10758,diverse borough,1
11342,green plant life,1
11037,council purchase,1
10947,environmental procurement policy,1
10740,representative range,1
11030,steer,1
10976,action effects,1
11031,gas scope,1
11357,declaration report,1
11305,exchange ideas,1
10735,better plant,1
11344,thames climate,1
11027,flood mitigation,1
10962,electrical power component,1
10732,awareness climate,1
11355,woodland creation,1
10742,excludes plans,1
11026,technologies redefine,1
10952,crops habitat,1
11308,locality planning area,1
11313,circular economy initiatives,1
10726,transition production,1
10734,strategic vision,1
11312,dedicated section,1
11311,house condition,1
11356,low carbon fund,1
11013,transport review,1
11310,planned action,1
11309,operational activities,1
11023,goods vehicle,1
10921,new build reduction,1
11038,close partnership,1
10888,higher energy performance,1
11114,issues water,1
11113,transformation reduce,1
11195,anaerobic digestion officer,1
11196,linkages,1
11197,other change,1
10832,energy context,1
11112,es,1
10890,supplier settings,1
10827,promote heritage,1
11199,public access buildings,1
10826,national grid electricity,1
10825,costs terms,1
10831,improvements energy,1
11119,december recommendation,1
10892,organisation engagement,1
11122,specialist advice,1
11125,own carbon emissions,1
10838,harmful impacts,1
11185,primary school conversations,1
11187,weather condition,1
11188,progress figures,1
10885,operational footprint,1
11189,important wildlife,1
11121,reliable journeys,1
11193,total supply chain,1
11191,spatial coordination,1
10886,networks generation,1
11192,natural consultation,1
10837,sustainable transport strategy,1
10836,scheme carbon,1
10835,output measure,1
10833,appropriate management level,1
11111,third report,1
10893,electricity transport,1
10767,corporate sustainability officers,1
11216,scope activities,1
11100,promote schemes,1
11212,same cost envelope,1
11213,skinner,1
11214,strong governance processes,1
11215,larger neighbouring cities,1
10894,support organisations,1
11102,different interventions,1
11098,corporate governance,1
11217,green communications strategy,1
10811,circular economy north,1
11096,programme projects,1
11219,sustainable ecology,1
11220,energy agency,1
11211,campaign activities,1
11210,update carbon,1
11110,figure carbon,1
11103,projects priority,1
11109,more water surface,1
11202,visible measures,1
11107,building heating,1
11105,corporate priorities pride,1
11104,officer feasibility,1
11203,energy demand,1
11204,energy risks,1
10817,heating control,1
10820,sustainable service savings,1
11205,free trees,1
11207,vision response,1
10819,greening programme,1
11208,various decisions,1
11209,regular updates,1
10818,private hire operation,1
11184,old habits,1
10883,causes,1
11183,economic vitality,1
10855,national statistics hamilton,1
10856,whole organisation change,1
10869,panel emergency,1
11159,tonnes climate,1
11160,viable roof spaces,1
11161,civic offices,1
11162,example recycling,1
11163,accountability,1
11165,green belt,1
11166,cross council approach,1
11167,clean growth opportunities,1
10870,declarations,1
10871,stationary,1
10868,resilience risks,1
11158,most council employees,1
11147,total greenhouse,1
11151,organisational waste,1
11149,disconnect,1
10863,rapid biodiversity,1
10864,flooding events,1
10865,bloom,1
10861,explore feasibility,1
11153,advertising consideration,1
10867,installation information,1
11154,carbon lifestyles,1
11156,cent,1
10860,residential care homes,1
11157,future recommendations,1
11146,local wildflowers,1
10858,natural grassland areas,1
10872,bus operators,1
11177,residential care,1
11135,employee business,1
11134,year basis,1
10876,sustainable transport result,1
10878,various stakeholders,1
10840,cornwall devolution,1
11143,relevant strategies,1
11132,volunteer network,1
11180,attempt,1
11130,zoological society,1
10839,human wellbeing,1
10881,water bottle,1
10882,dioxide concentrations,1
11182,collective action,1
11176,repurposing,1
10875,renewable district,1
11136,regional programme,1
10850,natural cycles,1
10848,external insulation,1
11141,public realm,1
10846,management capacity,1
11140,cycle form,1
10873,key cycle network,1
11174,emissions footprint,1
10845,initial stages,1
11175,draft baseline,1
11138,maintenance plant,1
10844,main contributor,1
11222,electric detailing,1
11095,cabinet portfolio,1
11058,front line services,1
11264,irreplaceable habitats,1
10930,strategic foundation,1
10780,key action tables,1
11265,frame priority,1
11266,citizens panel,1
11057,scatter analysis,1
11263,collaborative dialogue,1
11267,fundamental changes,1
11269,waste facility,1
11056,operational practices,1
11270,continual process,1
11271,schools energy,1
11273,systems generation,1
10781,potential restructure,1
11262,skilled workers commute,1
10922,management fuel,1
10928,electricity requirements,1
11255,winchester movement,1
10923,programmes collection,1
11068,interim essex climate,1
11257,future weather,1
10926,european commission,1
11258,legislative adaptation,1
10927,indirect emissions scope,1
11063,current emissions rates,1
11065,effective monitoring system,1
11259,skills providers,1
11260,overarching goal,1
10785,sea consultation,1
11261,key statistics,1
10784,low carbon services,1
10779,nuclear decommissioning,1
11274,corporate travel plan,1
11043,affect,1
10932,youth groups,1
11283,phases,1
10771,previous city target,1
10934,average schoolchildren,1
10770,cumulative carbon savings,1
10935,health reduction,1
11275,smart city commitment,1
11285,tax,1
11286,national emissions budget,1
10936,comprehensive assessment,1
11041,corporate services proposals,1
10768,savings annum,1
11047,drainage issues,1
11048,frontline service,1
10931,hydrological change,1
10778,phase transition,1
11276,expert judgement,1
10776,group climate,1
11277,watering gardens,1
11051,land types,1
11050,staff action,1
11279,regeneration purpose,1
11049,terms acronyms,1
11254,value act,1
11150,local government funding,1
11093,leisure sites,1
11238,bog,1
10903,living standards,1
11088,notable trees,1
11236,low carbon approach,1
11237,primary school building,1
10904,different types,1
10905,sustainable development agenda,1
10906,wildfires,1
11240,liverpool,1
10908,strategic priority,1
11235,overall spend,1
10901,alternative versions,1
11069,agricultural bill,1
11229,emergency climate,1
11226,hastings borough,1
10896,financial council policy,1
11227,available contracts care,1
10897,travel commuting,1
10898,richmond swimming,1
11092,clean vehicles,1
11233,open loop ground,1
10899,structured framework,1
11091,countryside team,1
11230,local government report,1
11232,valley data,1
10807,youth strikes,1
10803,local importance,1
10802,future land use,1
11084,change route,1
11249,council opportunity,1
11074,high quality health,1
10793,biomass electricity,1
11245,local infrastructure planning,1
11246,public refill taps,1
11072,transport infrastructure,1
11248,low med sam,1
10791,effective steps,1
11083,south london,1
10790,fertility rates,1
11070,open government licence,1
10917,bau increase,1
10919,qualitative basis,1
10920,long way,1
10915,wider framework,1
11244,executive march,1
11082,future changes,1
10801,councils water,1
11081,global issue foundations,1
11080,carbon sink,1
10800,understanding,1
11078,cornwall climate,1
10798,emissions future,1
10911,water levels,1
11243,draft action,1
10795,futures communities,1
11076,national action plans,1
10913,local outcome improvement,1
10914,excellent service,1
0,poor quality housing,1
9456,area heating,1
9459,spatial framework,1
9460,target cost,1
9461,public table alignment,1
9462,anonymous information,1
9463,generational timescale,1
9464,data transformation,1
9465,monitoring framework,1
9466,ecological emergency climate,1
9467,budget page,1
9469,significant impacts,1
9471,national adaptation,1
9473,fund engagement,1
9476,borough plan,1
9477,other policy sections,1
9478,private work,1
9480,full woking strategy,1
9454,active travel action,1
9482,junction improvements,1
9431,chard delivery,1
9432,undertaken,1
9433,substantial carbon emissions,1
9434,parking enforcement,1
9435,enhanced ventilation,1
9436,community leader,1
9437,wight county,1
9438,solar capacity,1
9442,exist,1
9443,manchester airport,1
9446,consultation exercise,1
9449,current generation,1
9451,data validation,1
9452,recycling collections,1
9481,response number,1
9483,green publishing,1
9765,wildlife trust,1
9508,increases ensure,1
9511,beacon,1
9512,action cornwall,1
9514,own procurement,1
9519,equivalent posts,1
9520,residual offsetting,1
9522,ecological emergency neighbourhoods,1
9523,similar process review,1
9525,litres person,1
9526,local nature reserves,1
9527,turner regional,1
9528,environmental permitting regulations,1
9530,average diesel car,1
9532,global plans,1
9533,recycling trial,1
9510,glasgow recommendations,1
9507,catastrophic sea level,1
9484,aspiration chimes,1
9485,low carbon behaviour,1
9486,solar electricity panels,1
9487,boston theme,1
9488,ce partnership,1
9489,other business routes,1
9490,summer require,1
9491,global climate deal,1
9492,accelerated housing target,1
9494,reduction roadmap,1
9496,sustainable change working,1
9497,adaptation waste,1
9499,march action,1
9501,commercial climate provision,1
9502,third phase,1
9504,approximate carbon emissions,1
9427,estimates,1
9426,important message,1
9424,pipeline,1
9335,guideline,1
9339,just transition commission,1
9340,own waste management,1
9341,essential research,1
9346,complete borough,1
9347,improved landscape management,1
9348,strong communities select,1
9349,age profile,1
9350,council partnership,1
9351,policy developments,1
9353,considers,1
9357,year transport,1
9358,neutral hastings,1
9360,uk temperature,1
9361,transport water,1
9362,assisted collection regulations,1
9363,private car parks,1
9336,adopt carbon,1
9334,key action energy,1
9423,hart climate,1
9312,protective services committee,1
9313,better future,1
9314,peak hours,1
9315,indirect transport,1
9317,emergencies advisory,1
9319,organisations scope,1
9320,installer,1
9322,local sustainability objectives,1
9323,world class,1
9324,winter increase,1
9326,low carbon pool,1
9329,potential partners,1
9331,final guidance,1
9332,housing ensure,1
9364,energy plant,1
9368,serious decline,1
9399,steep reductions,1
9400,environmental approaches,1
9401,dividend group,1
9403,overall borough emissions,1
9406,sustainable food policy,1
9408,green rewards,1
9409,operational responsibilities,1
9411,version table,1
9413,global energy transition,1
9414,jeans emits,1
9415,london policy,1
9417,unsustainable resource consumption,1
9418,national climate,1
9420,objective sustainability,1
9422,level agreements,1
9397,mid year population,1
9396,annual progress,1
9395,multiple topic areas,1
9381,stake carbon,1
9372,vital support,1
9373,economic cost,1
9374,low incomes,1
9377,aberdeen city part,1
9378,diverse group,1
9380,eat,1
9383,facilities reduction,1
9394,main office sites,1
9384,submission date,1
9385,cumulative effects,1
9386,asset disposal,1
9388,economic needs,1
9389,method category,1
9391,public transport operators,1
9392,autumn building,1
9537,council recognise,1
9684,nutritious food,1
9687,effective leadership role,1
9688,mayor london,1
9690,average carbon dioxide,1
9691,policy gap,1
9692,foreword councillor,1
9694,sheet,1
9696,identify council,1
9697,profile,1
9701,significant action,1
9703,additional emissions reduction,1
9704,disposable plastics,1
9705,annual carbon reductions,1
9707,annual climate emergency,1
9686,nitrogen households,1
9683,excess winter mortality,1
9650,capable zones,1
9679,most buildings,1
9656,committee july,1
9657,planning officers,1
9658,extension officer,1
9660,aim,1
9665,date halo,1
9666,plan trajectory,1
9668,national grid completion,1
9669,practical subjects,1
9670,third party organisations,1
9672,approximate increase,1
9673,commercial level ride,1
9674,scoring framework,1
9675,foreword reshape,1
9676,earth climate,1
9677,assessment methodology,1
9713,greenest year,1
9743,carbon proof,1
9744,net area emissions,1
9745,complete cycle proficiency,1
9746,energy city,1
9747,evidence canterbury,1
9750,own council,1
9751,average carbon,1
9752,annual removals,1
9753,heat electricity,1
9756,streams,1
9757,target footprint,1
9758,inevitable justice advisory,1
9759,public charging points,1
9760,comprehensive cycling,1
9761,wider energy market,1
9762,commensurate reductions,1
9763,innovation park,1
9742,constituent nations,1
9741,reputable interpretations,1
9740,public transportation,1
9725,low carbon investment,1
9717,environment indicators,1
9719,steady decrease,1
9720,others climate,1
9722,visibility,1
9723,several climate strikes,1
9726,campaign october,1
9739,online application form,1
9728,key areas buildings,1
9729,species extinction,1
9730,council retrofit,1
9734,own contributions individuals,1
9736,individual project milestones,1
9737,council requirement,1
9738,voluntary target,1
9654,table key,1
9649,wide carbon,1
9538,global standards,1
9567,uk reductions,1
9568,way page,1
9569,dietary changes,1
9572,collection vehicle,1
9573,green infrastructure creation,1
9574,nitrogen install,1
9575,latter actions,1
9576,business forums,1
9577,key recommendation,1
9578,smokeless zone,1
9579,commission liverpool,1
9580,quarters,1
9581,regulatory services head,1
9582,thriving scrutiny communities,1
9583,next iteration,1
9584,housing quality,1
9586,digital strategy con,1
9587,long term impacts,1
9566,power distribution,1
9564,usage waste,1
9648,variable temperature increase,1
9539,wide response,1
9544,devon district council,1
9545,theme monitoring,1
9546,fold,1
9547,total electricity consumption,1
9549,cambridge carbon emissions,1
9550,shade,1
9551,cabinet june,1
9552,assess options,1
9553,new reviewing,1
9554,more pandemics,1
9557,minimum vehicle emission,1
9560,sustainable transport choices,1
9562,accounting,1
9589,executive summary greener,1
9590,strategic development goals,1
9591,local government sector,1
9592,priority risks,1
9623,short term reductions,1
9624,specific air pollutants,1
9625,operating costs,1
9628,more information campaigns,1
9629,public service buildings,1
9630,local collection point,1
9632,strategy emissions,1
9633,sustainable procurement section,1
9635,change complicity,1
9637,total baseline greenhouse,1
9638,additional maintenance cycles,1
9641,numerous reports,1
9644,emission monitoring,1
9645,cumulative savings,1
9646,annual climate,1
9622,characteristic,1
9617,educational estate emissions,1
9616,locality flood plan,1
9604,sustainable use,1
9593,pollution levels,1
9596,table shows,1
9597,drainage assets,1
9603,annual update protect,1
9605,global contribution,1
9615,mode share,1
9607,aberdeen april,1
9609,performance dashboard,1
9610,specific council priority,1
9611,food bins,1
9613,climate pledge,1
9310,environment newsletter,1
9309,louise cox,1
8991,collective response,1
8993,homes,1
8994,option reduction,1
8995,staff carbon,1
8996,december install,1
8998,councils actions,1
8999,high profile cycling,1
9000,public health borough,1
9001,register,1
9002,compost,1
9004,necessary measures,1
9005,residential budgets carbon,1
9006,standard priority area,1
